YEAR_PATH_STARTED,REGION,AGE_GROUP,GENDER,PATH_CATEGORY_NAME,POPULATION,STUDENT_COUNT,STUDENTS_PER_100K_INHABITANTS
2022,Hauts-de-France,60 ans ou plus,M,Data,5973933,2,0.03
2022,Pays de la Loire,45-49 ans,F,Data,3936719,2,0.05
2024,Grand Est,35-39 ans,NON_RENSEIGNE,Data,5544051,3,0.05
2022,Hauts-de-France,45-49 ans,NON_RENSEIGNE,Data,5973933,4,0.07
2025,Nouvelle-Aquitaine,30-34 ans,F,Data,6191209,5,0.08
2023,Normandie,45-49 ans,F,Data,3341312,2,0.06
2023,Bretagne,35-39 ans,NON_RENSEIGNE,Data,3475895,3,0.09
2024,Occitanie,35-39 ans,F,Data,6201587,3,0.05
2023,Hauts-de-France,20-24 ans,M,Data,5973933,2,0.03
2023,Normandie,35-39 ans,F,Data,3341312,2,0.06
