YEAR_PATH_STARTED,REGION,AGE_GROUP,GENDER,PATH_CATEGORY_NAME,POPULATION,STUDENT_COUNT,STUDENTS_PER_100K_INHABITANTS
2022,Nouvelle-Aquitaine,40-44 ans,NON_RENSEIGNE,Data,6191209,7,0.11
2023,Centre-Val de Loire,30-34 ans,M,Data,2581479,2,0.08
2025,Occitanie,45-49 ans,NON_RENSEIGNE,Data,6201587,1,0.02
2022,Île-de-France,55-59 ans,F,Data,12450849,6,0.05
2025,Auvergne-Rhône-Alpes,30-34 ans,F,Data,8260096,4,0.05
2023,Centre-Val de Loire,45-49 ans,NON_RENSEIGNE,Data,2581479,1,0.04
2024,Pays de la Loire,55-59 ans,M,Data,3936719,1,0.03
2024,Nouvelle-Aquitaine,35-39 ans,F,Data,6191209,4,0.06
2025,Bourgogne-Franche-Comté,35-39 ans,M,Data,2793080,1,0.04
2024,DROM,30-34 ans,M,Data,2253657,2,0.09
2023,Auvergne-Rhône-Alpes,35-39 ans,NON_RENSEIGNE,Data,8260096,4,0.05
2023,Provence-Alpes-Côte d'Azur,45-49 ans,NON_RENSEIGNE,Data,5241587,1,0.02
2024,Hauts-de-France,25-29 ans,F,Data,5973933,1,0.02
2023,DROM,50-54 ans,M,Data,2253657,1,0.04
2022,Provence-Alpes-Côte d'Azur,45-49 ans,F,Data,5241587,1,0.02
2025,Hauts-de-France,35-39 ans,F,Data,5973933,1,0.02
2023,Bourgogne-Franche-Comté,20-24 ans,NON_RENSEIGNE,Data,2793080,1,0.04
2022,Auvergne-Rhône-Alpes,55-59 ans,M,Data,8260096,4,0.05
2023,Hauts-de-France,20-24 ans,NON_RENSEIGNE,Data,5973933,1,0.02
2022,Provence-Alpes-Côte d'Azur,50-54 ans,NON_RENSEIGNE,Data,5241587,2,0.04
2024,Provence-Alpes-Côte d'Azur,35-39 ans,NON_RENSEIGNE,Data,5241587,2,0.04
2022,Provence-Alpes-Côte d'Azur,45-49 ans,M,Data,5241587,4,0.08
2025,Auvergne-Rhône-Alpes,25-29 ans,F,Data,8260096,5,0.06
